account_scope,period_years,horizon_days,ticker,name,asset_type,account,currency,quantity,current_local_price,current_fx,fx_method,cost_fx_method,current_value,invested_cost,current_pnl,future_value_p10,future_value_p50,future_value_mean,future_value_p90,expected_pnl,contribution_to_change,hold_assumption,forecast_status,forecast_available,valuation_method,warning
전체,1,10,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,39363397.895386845,44295623.09616417,44379939.58336558,49518350.99467956,25620609.096164167,795623.0961641669,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,10,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,18991654.347804576,20721130.595349677,20764802.671438128,22582178.510154683,9907698.595349677,1911130.595349677,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,10,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,110603136.42821799,126436762.32341787,129193644.14898735,151952677.31010368,84498464.76341787,11076592.824517101,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,10,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,27068251.073314566,29924741.049515754,30511998.56519636,30984468.439174507,3921297.8495157547,-168515.62336155772,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,10,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,1,30,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,61756988.22907456,74981010.3520108,75557319.90051354,90150999.24286895,56305996.3520108,31481010.3520108,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,30,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,24484744.277626086,27557803.419349544,27634370.893167775,30883938.735005952,16744371.419349544,8747803.419349544,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,30,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,115599176.22388844,179956494.87561616,196567788.90652013,295090816.0692637,138018197.31561616,64596325.37671539,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,30,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,15254291.248118367,29475668.347598594,29988934.49646753,31601881.819108363,3472225.1475985944,-617588.325278718,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,30,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
