account_scope,period_years,horizon_days,base_currency,current_total,invested_cost,current_pnl,future_p10,future_p25,future_p50,future_mean,future_p75,future_p90,expected_return,loss_probability,below_cost_probability,var95,expected_shortfall95,simulation_paths,simulation_method,hold_assumption,stock_asset_count,unforecasted_stock_count,estimated_valuation_count,portfolio_complete
전체,1,10,KRW,209202609.79546186,98285348.76,110917261.03546186,207041064.6731811,220839759.35822114,230929849.78683054,233385142.48914033,244966613.99161747,261668703.42302248,0.10385740413377964,0.1131,0.0,14839654.657382378,30054181.84646728,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,1,30,KRW,209202609.79546186,98285348.76,110917261.03546186,240639810.56109527,275526680.7439286,313721984.9481096,325655508.2862888,363731403.88207,424612266.0338821,0.4996083713049122,0.0414,0.0,-5800750.163484236,18672891.62580602,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,1,60,KRW,209202609.79546186,98285348.76,110917261.03546186,395613837.8336064,446484440.7286155,505924930.9291766,514749325.18935955,571457253.111457,644792301.4005928,1.4183490417438924,0.0,0.0,-157163784.58726287,-126084001.73108469,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,3,10,KRW,209202609.79546186,98285348.76,110917261.03546186,182634916.38132206,201233864.95924357,215220541.02579877,220560557.17175284,237455423.80805856,263746879.32279322,0.028766042814765358,0.3958,0.0003,41384791.38144079,59930094.254701845,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,3,30,KRW,209202609.79546186,98285348.76,110917261.03546186,254499747.3179365,287651242.1385789,320134364.62412727,328097313.2034661,361788683.47167575,409311784.06786895,0.5302598994205845,0.0219,0.0,-20885006.27539219,2541958.9333830853,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,3,60,KRW,209202609.79546186,98285348.76,110917261.03546186,368323203.5346414,419012164.6738256,479430131.4306469,489267519.1282107,548151276.3411586,623474180.9744977,1.291702440516337,0.0002,0.0,-128132451.24720308,-94864917.13659787,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,5,10,KRW,209202609.79546186,98285348.76,110917261.03546186,184352930.3356194,203269420.96744484,218185135.0367334,223313127.4391623,240330789.40741172,268311158.32675207,0.04293696550943493,0.3531,0.0004,39983635.84341156,60303992.77352209,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,5,30,KRW,209202609.79546186,98285348.76,110917261.03546186,252232899.88301405,286008137.7921901,320521070.4575903,328149287.15854424,363756569.90780807,412414421.77626884,0.5321083746085427,0.0242,0.0,-20338954.88350644,5411724.622196074,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,5,60,KRW,209202609.79546186,98285348.76,110917261.03546186,368912451.78087807,420612879.8442591,480979065.5011097,492707445.3043369,550812031.1394008,630746853.2865983,1.2991064307054518,0.0003,0.0,-129738588.26256627,-96371321.549952,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,10,10,KRW,209202609.79546186,98285348.76,110917261.03546186,183787645.79672733,203817141.18719584,218528860.84394717,223540266.84243384,240848076.24975306,267856731.09384105,0.04457999380410982,0.3389,0.0001,40164895.53192222,58153620.6974099,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,10,30,KRW,209202609.79546186,98285348.76,110917261.03546186,260067761.79771855,297138540.6170616,333354486.30688214,341906448.4042427,378797892.5106807,432840069.2568437,0.5934528093736691,0.0197,0.0,-26082286.338379182,-896148.5869632909,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,10,60,KRW,209202609.79546186,98285348.76,110917261.03546186,367034411.3413922,413008347.08955324,470875655.1458347,479392493.04388016,536346463.029925,601781599.0393338,1.250811572600416,0.0001,0.0,-129245129.17877515,-97751253.18921207,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,15,10,KRW,209202609.79546186,98285348.76,110917261.03546186,185820853.60729125,204947466.07893854,219923108.40181386,224905825.02791518,242401758.85311374,269326389.4150067,0.05124457394118309,0.3181,0.0001,37680615.75794439,56909672.06081862,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,15,30,KRW,209202609.79546186,98285348.76,110917261.03546186,244665824.08882627,280795327.3912241,317980333.8997266,325828690.188417,362259599.276108,413032011.4913339,0.5199635138902767,0.0348,0.0001,-12494885.142097257,13706381.72291272,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
전체,15,60,KRW,209202609.79546186,98285348.76,110917261.03546186,360557116.2900425,407906500.4975579,462757375.42598814,471904847.5048466,527228268.898486,594174057.8804555,1.2120057482955287,0.0001,0.0,-123006756.00012812,-93757493.10356599,10000,joint circular moving-block bootstrap + terminal forecast calibration,현재 수량을 그대로 보유,4,0,0,True
