ticker,name,period_years,horizon_days,as_of_date,current_price,predicted_log_return,expected_return,up_probability,down_probability,return_q10,return_q25,return_q50,return_q75,return_q90,price_q10,price_q25,price_q50,price_q75,price_q90,interval80_low,interval80_high,interval90_low,interval90_high,predicted_volatility,max_expected_downside,confidence_score,confidence_grade,model_name,model_reason,calibration_method,data_status,memory_spot_used,fallback_level,last_data_time,training_rows,test_rows,hold_assumption,effective_history_days
000660.KS,SK하이닉스,1,10,2026-08-18,1662000.0,0.07646953882242236,0.07946930793007123,0.8251016606719668,0.17489833932803323,-0.11041172394952983,-0.062380964328399485,0.022418648392540604,0.022418648392540604,0.11499220384404252,1488263.4529960197,1561490.3723888488,1699680.5894087262,1699680.5894087262,1864539.1169501534,1488263.4529960197,1864539.1169501534,1464395.3592108027,1954051.1535302275,0.08794180969916184,-0.08618915302318031,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,233,46,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,1,30,2026-08-18,1662000.0,0.4918913248757264,0.6354063815558308,0.983048242368458,0.016951757631541997,0.43727795769217587,0.4882178231314891,0.5293293412304565,0.5667673575851867,0.6378807459648197,2573584.4482525205,2708078.9786575353,2821732.4425903126,2929374.895490476,3145278.5091437623,2573584.4482525205,3145278.5091437623,2480686.8660044326,3201694.624156499,0.07826559370141183,0.0,39.0,사용 주의,hist_gradient_boosting,분리된 walk-forward RMSE 최저이며 기준선 대비 14.10% 개선,platt,PROXY_OPT_IN,False,2,2026-08-18,213,42,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,1,60,2026-08-18,1662000.0,0.5429262622199471,0.7210357024990501,0.999,0.0010000000000000009,0.3460276211786196,0.5234669359324913,0.5736068093633397,0.7646459670917712,0.8305568201278046,2349140.032609317,2805238.6971176313,2949478.8855949375,3570364.4004049688,3813618.6548519144,2349140.032609317,3813618.6548519144,2182640.40472814,4047759.5970652066,0.1890400714165888,-0.019893423810662503,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,empirical_residual,PROXY_OPT_IN,False,4,2026-08-18,183,40,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,3,10,2026-08-18,1662000.0,0.03612503184345792,0.03678546958578033,0.7145120317408429,0.2854879682591571,-0.19548366452672392,-0.1269679932107389,-0.0151873852285799,-0.0151873852285799,0.11790780358216335,1366889.9256151477,1463826.2154838797,1636949.2747651862,1636949.2747651862,1869983.2993830645,1366889.9256151477,1869983.2993830645,1326456.9739512363,1977933.7967128041,0.12227033095453727,-0.15581987470482794,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,717,143,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,3,30,2026-08-18,1662000.0,0.1166072920278596,0.1236780656981109,0.8489018662532827,0.15109813374671732,0.12251265824757837,0.26984280549391365,0.280470068740041,0.5639373342594021,0.6408661843735755,1878614.157375609,2176818.7062811563,2200075.6918819346,2921096.415876691,3154682.575056236,1878614.157375609,3154682.575056236,1581697.5824748743,3046929.6090995604,0.2022367027836764,-0.05431342073894063,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,697,139,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,3,60,2026-08-18,1662000.0,0.5365270942687598,0.7100576685920623,0.999,0.0010000000000000009,0.1782554928724569,0.39741050460282323,0.5352301211070105,0.5352301211070105,0.9002375107520489,1986307.1063762542,2473000.5255046436,2838432.086610596,2838432.086610596,4088831.3968437817,1986307.1063762542,4088831.3968437817,1784140.9330612333,4536570.111691002,0.2816827809705741,-0.05622359808680322,39.0,사용 주의,hist_quantile_median,분리된 walk-forward RMSE 최저이며 기준선 대비 5.28% 개선,empirical_residual,PROXY_OPT_IN,False,2,2026-08-18,667,133,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,5,10,2026-08-18,1662000.0,0.022738777026742714,0.022999273728827818,0.6039907926084378,0.3960092073915622,-0.19950636508046712,-0.09371312018030994,0.026729916715754646,0.05379139486582772,0.18941162359596447,1361402.381527795,1513324.0307018622,1707024.187229118,1753849.5086066816,2008590.6762051273,1361402.381527795,2008590.6762051273,1323975.3241592315,2172642.34147229,0.15173715952317507,-0.15171284328953294,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,1209,241,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,5,30,2026-08-18,1662000.0,0.07217852708565872,0.07484721627716073,0.500430273099995,0.499569726900005,0.06644143260658535,0.33793963643311004,0.33793963643311004,0.5798616078485919,0.6793392583102168,1776176.693207447,2330216.852213355,2330216.852213355,2967985.0976403006,3278417.8877892126,1776176.693207447,3278417.8877892126,1572327.8374999284,3414965.729682315,0.239123357257645,-0.06372764486334859,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,1189,237,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,5,60,2026-08-18,1662000.0,0.5197754723978303,0.681650030458474,0.999,0.0010000000000000009,0.09234881818992353,0.45916251942958103,0.5152426667276401,0.7471089679860922,0.9086231314173989,1822794.047137897,2630527.025038576,2782262.2705550175,3508296.753953235,4123262.94910564,1822794.047137897,4123262.94910564,1668061.1880601968,4734022.113866097,0.31847111547189144,-0.07162884098353584,39.0,사용 주의,hist_quantile_median,분리된 walk-forward RMSE 최저이며 기준선 대비 4.33% 개선,isotonic,PROXY_OPT_IN,False,2,2026-08-18,1159,231,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,10,10,2026-08-18,1662000.0,0.0,0.0,0.46662073430524315,0.5333792656947569,-0.17974755298085549,-0.09528665068767297,0.01571923359436614,0.06679457419659007,0.15481205252167027,1388569.587376044,1510944.6416835787,1688331.7817474157,1776804.045834648,1940282.825820689,1388569.587376044,1940282.825820689,1353665.5582334332,2081229.0984022897,0.13052912364098018,-0.13762934197821464,39.0,사용 주의,last_value_zero_return,고급 모델이 기준선 last_value_zero_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,2436,252,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,10,30,2026-08-18,1662000.0,0.4509394790178126,0.5697862742111068,0.999,0.0010000000000000009,-0.04883791519770627,0.26990095770481776,0.4485302696943423,0.6241610133066251,0.642008593880693,1582781.561605516,2176945.2967823874,2602706.7628381313,3102420.799284139,3158288.5737933554,1582781.561605516,3158288.5737933554,1662433.925215088,4018273.679945172,0.2695351976667522,-0.0600835630897385,36.1,사용 주의,hist_quantile_median,분리된 walk-forward RMSE 최저이며 기준선 대비 6.16% 개선,isotonic,PROXY_OPT_IN,False,2,2026-08-18,2416,252,현재 수량을 예측 시점까지 그대로 보유,
000660.KS,SK하이닉스,10,60,2026-08-18,1662000.0,0.10209529517307421,0.10748900505585968,0.4686239137775203,0.5313760862224797,0.24199894521674725,0.5358265320604778,0.5358265320604778,0.6139054828988715,0.7621312950357761,2117043.7154370816,2840125.4635217977,2840125.4635217977,3070766.422092671,3561397.3840955202,2117043.7154370816,3561397.3840955202,2042633.717887121,3968305.4374154806,0.20293071453507866,-0.028859512232646933,39.0,사용 주의,historical_mean_return,고급 모델이 기준선 historical_mean_return의 walk-forward RMSE를 개선하지 못해 기준 모델 선택,platt,PROXY_OPT_IN,False,4,2026-08-18,2386,252,현재 수량을 예측 시점까지 그대로 보유,
