bin,예측확률,실제상승률,표본수
"(-0.001, 0.1]",0.06546978716348094,0.6060606060606061,66
"(0.1, 0.2]",0.17334996291732677,0.4142857142857143,70
"(0.2, 0.3]",0.24725267357428643,0.4788135593220339,236
"(0.3, 0.4]",0.3610825399551414,0.471976401179941,678
"(0.4, 0.5]",0.44791896270207315,0.5821854912764004,1089
"(0.5, 0.6]",0.5551029333820393,0.6538214515093128,1557
"(0.6, 0.7]",0.6464614775894667,0.5548071034905082,1633
"(0.7, 0.8]",0.75068191172951,0.7079081632653061,784
"(0.8, 0.9]",0.8325909967187113,0.40966921119592875,393
"(0.9, 1.0]",0.9290431539641439,0.75,52
