feature,importance
200일선 이격,-0.0009602079693142862
20일 하방 변동성,-0.0033048417727162827
irx_level,-0.012010385721662353
listing_age_years,-0.013180154541097111
MACD/주가,-0.014599276578334486
ai_basket_ret60,-0.017487001028414828
EMA 12·26 추세차,-0.018623457297762935
미 10년-3개월 금리차,-0.01931055301705098
jpy_chg60,-0.019673800393781637
60일선 이격,-0.020563749231433115
코스피 20일 수익률,-0.021534948751985916
60일 수익률,-0.022163382773712437
MACD 시그널/주가,-0.023674262592441098
nasdaq_ret60,-0.024054440206719985
미 10년물 금리 수준,-0.028632954556202517
현물가 NAND_TLC_512Gb 1년 Z점수,-0.029172503098312652
dxy_chg60,-0.03363837089239052
구리 20일 수익률,-0.05039472976147652
wdc_ret60,-0.05282592710267131
미 10년물 20일 변화,-0.05329904936605234
SOX MACD 히스토그램,-0.05844916755461971
ADX(14),-0.06758157585759283
market_ret60,-0.0698199940756008
krw_chg60,-0.07256960885313868
60일 로그가격 추세 기울기,-0.08052038980881882
현물가 NAND_TLC_512Gb 20일 변화,-0.08992113746022978
irx_chg20,-0.0999715985718066
smh_ret60,-0.10518579107461579
NAND 현물가 공통 20일 모멘텀,-0.11867003837514267
월 계절성(sin),-0.1200298211662375
SOX 60일 수익률,-0.13625311563938902
현물가 DRAM_DDR4_8Gb 60일 변화,-0.13770262448593262
WTI 20일 수익률,-0.14552547979793662
kospi_ret60,-0.14616534364198763
현물가 NAND_TLC_512Gb 모멘텀 가속,-0.16958814613016537
nikkei_ret60,-0.1710603988644689
월 계절성(cos),-0.1924141719589344
메모리 ETF 20일 수익률,-0.21146605897756665
현물가 NAND_TLC_512Gb 60일 변화,-0.23504236844167314
SOX 20일 변동성,-0.24952620574043705
