날짜,DRAM_DDR4_8Gb,DRAM_DDR5_16Gb,NAND_TLC_512Gb
2024-08-21,,,3.234
2025-05-21,2.162,,2.73
2025-07-09,5.003,,2.676
2025-07-16,5.023,,2.673
2025-08-13,4.929,,2.808
2025-09-17,5.431,,2.855
2025-09-24,5.947,,2.96
2025-10-01,6.359,,3.121
2025-10-15,7.059,,3.576
2025-10-22,7.931,,4.576
2025-11-12,11.857,,6.455
2025-11-19,12.757,,7.421
2025-12-03,16.514,,
2025-12-10,17.064,,9.634
2025-12-24,21.75,,11.517
2025-12-31,23.746,,13.055
2026-01-14,27.857,,15.052
2026-01-28,30.9,,16.31
2026-03-18,33.88,,23.0
2026-04-01,33.96,,22.155
2026-04-29,32.5,,
2026-05-06,32.4,,
2026-05-27,33.6,,20.638
2026-06-03,34.8,,20.683
2026-06-10,35.9,,20.638
2026-06-17,35.8,,21.431
2026-06-24,35.9,,20.069
2026-07-01,36.0,,19.862
2026-08-07,,,20.124797561207963
2026-08-10,,,21.125
2026-08-14,42.71559450308704,52.733,
2026-08-17,42.895,52.733,
